组件ID,组件名,层级,编码问题,取值定义,研究编号,编码值,证据位置/引文,备注
A1,自变量,设计层,报告是否明确界定了研究者主动操纵的自变量，并完整报告了其操纵程序、水平数与各水平取值、单位分配方式及操纵检验？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A2,因变量,设计层,报告是否明确界定了因变量的测量工具 / 指标、计分方式与单位，并报告了信效度证据及连续指标预处理 / 防天花板地板效应的说明？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A3,控制变量,设计层,报告是否系统列出了实际保持恒定或加以控制的额外变量，并逐一说明了所用的控制手段？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A4,混淆变量,设计层,报告是否说明了已识别的潜在混淆及其控制方式，并如实报告残余混淆 / 敏感性分析对内部效度的威胁？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A5,调节变量,设计层,报告是否说明了调节变量的测量 / 操纵方式与类型，并报告了交互检验、中心化 / 标准化处理及各水平的简单斜率？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A6,中介变量,设计层,报告是否分别报告了直接效应与间接（中介）效应的大小及置信区间，说明了 a / b 路径系数，并讨论了因果链的理论假设？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A7,操作性定义,设计层,报告是否对每个构念（自变量操纵、因变量测量）写出了可复现的操作化程序，而非仅使用抽象构念名？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A8,水平数与类型,设计层,报告是否说明了每个自变量的水平数、各水平具体取值 / 标签、水平类型（名义 / 等级 / 连续）及水平间距与全距？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A9,单一操作化的风险,偏差识别层,报告是否说明关键构念采用了多种操作化 / 指标，并在仅用单一操作时讨论了其对可推广性的限制？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
A10,单一方法的风险,偏差识别层,若自变量与因变量来自同一来源 / 方法，报告是否做了共同方法偏差检验及控制，并说明了各构念所用方法的来源差异？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B1,被试间设计,设计层,报告是否明确说明每个被试（组）只接受一个自变量水平，不同条件由相互独立的被试组承担，且未让同一被试跨条件？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B2,被试内设计,设计层,报告是否明确说明每个被试接受自变量所有水平，并报告顺序平衡方案及各顺序上的被试分配？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B3,混合设计,设计层,报告是否逐因素标注其为组间还是组内，并使用与两类因素分别对应的统计模型与误差项？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B4,因子设计,设计层,报告是否完整呈现因子结构（因素数、水平数、设计矩阵、每格样本量）并对主效应与交互项给出完整统计量？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B5,主效应,设计层,在因子设计中，是否报告每个因素主效应的完整统计量，并在交互显著时声明主效应解释受限？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
B6,交互作用,设计层,是否对交互作用项给出统计检验，并在显著时报告简单主效应事后比较与图示误差棒？,1=满足且正确 / 0.5=部分满足 / 0=缺失或错误 / NA=不适用 / NR=无法判断,,,,
